frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
0,DJI_0408_frame_000000,0.0,0:00:00,,1;0;0;0,0.3992;0.0000;0.0000,0;0;0,100.0
125,DJI_0408_frame_000125,5.0,0:00:05,,1;0;0;0,0.4213;0.0000;0.0000,0;0;0,100.0
250,DJI_0408_frame_000250,10.0,0:00:10,,1;0;0;0,0.3404;0.0000;0.0000,0;1;0,77.88
375,DJI_0408_frame_000375,15.0,0:00:15,,1;0;0;0,0.3560;0.0000;0.0000,0;0;0,100.0
500,DJI_0408_frame_000500,20.0,0:00:20,,0;1;0;0,0.3188;0.0000;0.0000,0;2;0,63.74
625,DJI_0408_frame_000625,25.0,0:00:25,,1;0;0;0,0.3327;0.0000;0.0000,0;1;0,77.88
750,DJI_0408_frame_000750,30.0,0:00:30,,1;0;0;0,0.5801;0.0000;0.0000,0;5;0,65.24
875,DJI_0408_frame_000875,35.0,0:00:35,,1;0;0;0,0.5552;0.0000;0.0000,0;0;0,100.0
1000,DJI_0408_frame_001000,40.0,0:00:40,,1;0;0;0,0.5706;0.0000;0.0000,0;0;0,100.0
1125,DJI_0408_frame_001125,45.0,0:00:45,,1;0;0;0,0.6322;0.0000;0.0000,0;0;0,100.0
1250,DJI_0408_frame_001250,50.0,0:00:50,,1;0;0;0,0.5795;0.0000;0.0000,0;0;0,100.0
1375,DJI_0408_frame_001375,55.0,0:00:55,,0;0;0;1,0.7466;0.0000;0.0000,0;0;0,82.0
1500,DJI_0408_frame_001500,60.0,0:01:00,,1;0;0;0,0.6736;0.0000;0.0000,0;8;0,65.01
1625,DJI_0408_frame_001625,65.0,0:01:05,,1;0;0;0,0.5711;0.0000;0.0019,0;0;0,99.91
1750,DJI_0408_frame_001750,70.0,0:01:10,,1;0;0;0,0.6603;0.0000;0.0000,0;0;0,100.0
1875,DJI_0408_frame_001875,75.0,0:01:15,,1;0;0;0,0.8007;0.0000;0.0000,0;0;0,100.0
2000,DJI_0408_frame_002000,80.0,0:01:20,,0;1;0;0,0.6440;0.0000;0.0012,0;0;0,93.95
2125,DJI_0408_frame_002125,85.0,0:01:25,,1;0;0;0,0.8188;0.0000;0.0000,0;0;0,100.0
2250,DJI_0408_frame_002250,90.0,0:01:30,,1;0;0;0,0.7118;0.0000;0.0000,0;0;0,100.0
2375,DJI_0408_frame_002375,95.0,0:01:35,,1;0;0;0,0.6453;0.0000;0.0000,0;0;0,100.0
2500,DJI_0408_frame_002500,100.0,0:01:40,,1;0;0;0,0.7475;0.0000;0.0000,0;0;0,100.0
2625,DJI_0408_frame_002625,105.0,0:01:45,,1;0;0;0,0.4815;0.0000;0.0000,0;0;0,100.0
2750,DJI_0408_frame_002750,110.0,0:01:50,,1;0;0;0,0.6589;0.0000;0.0000,0;0;0,100.0
2875,DJI_0408_frame_002875,115.0,0:01:55,,1;0;0;0,0.6204;0.0000;0.0000,0;0;0,100.0
3000,DJI_0408_frame_003000,120.0,0:02:00,,1;0;0;0,0.6649;0.0000;0.0000,0;0;0,100.0
3125,DJI_0408_frame_003125,125.0,0:02:05,,0;0;1;0,0.3216;0.0000;0.0000,0;0;0,86.0
