frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score,time,lat,lon,ele,gpx_time,dt_s
0,DJI_0408_frame_000000,0.0,0:00:00,,1;0;0;0,0.3992;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:12+00:00,48.950586,9.119179,204.1,2026-07-12 17:36:12+00:00,0.0
125,DJI_0408_frame_000125,5.0,0:00:05,,1;0;0;0,0.4213;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:17+00:00,48.950444,9.118954,203.9,2026-07-12 17:36:17+00:00,0.0
250,DJI_0408_frame_000250,10.0,0:00:10,,1;0;0;0,0.3404;0.0000;0.0000,0;2;0,69.74,2026-07-12 17:36:22+00:00,48.950267,9.118694,203.6,2026-07-12 17:36:22+00:00,0.0
375,DJI_0408_frame_000375,15.0,0:00:15,,1;0;0;0,0.3560;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:27+00:00,48.950047,9.11836,202.7,2026-07-12 17:36:27+00:00,0.0
500,DJI_0408_frame_000500,20.0,0:00:20,,0;1;0;0,0.3188;0.0000;0.0000,0;2;0,63.74,2026-07-12 17:36:32+00:00,48.949844,9.118056,202.2,2026-07-12 17:36:32+00:00,0.0
625,DJI_0408_frame_000625,25.0,0:00:25,,1;0;0;0,0.3327;0.0000;0.0000,0;5;0,65.24,2026-07-12 17:36:37+00:00,48.949623,9.117945,201.8,2026-07-12 17:36:37+00:00,0.0
750,DJI_0408_frame_000750,30.0,0:00:30,,1;0;0;0,0.5801;0.0000;0.0000,0;6;0,65.09,2026-07-12 17:36:42+00:00,48.94938,9.117542,201.0,2026-07-12 17:36:42+00:00,0.0
875,DJI_0408_frame_000875,35.0,0:00:35,,1;0;0;0,0.5552;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:47+00:00,48.949054,9.117116,199.5,2026-07-12 17:36:47+00:00,0.0
1000,DJI_0408_frame_001000,40.0,0:00:40,,1;0;0;0,0.5706;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:52+00:00,48.948837,9.116523,198.2,2026-07-12 17:36:52+00:00,0.0
1125,DJI_0408_frame_001125,45.0,0:00:45,,1;0;0;0,0.6322;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:36:57+00:00,48.948611,9.115878,196.7,2026-07-12 17:36:57+00:00,0.0
1250,DJI_0408_frame_001250,50.0,0:00:50,,1;0;0;0,0.5795;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:37:02+00:00,48.948372,9.115197,194.9,2026-07-12 17:37:02+00:00,0.0
1375,DJI_0408_frame_001375,55.0,0:00:55,,0;0;0;1,0.7466;0.0000;0.0000,0;0;0,82.0,2026-07-12 17:37:07+00:00,48.948171,9.11447,193.1,2026-07-12 17:37:07+00:00,0.0
1500,DJI_0408_frame_001500,60.0,0:01:00,,1;0;0;0,0.6736;0.0000;0.0000,0;6;0,65.09,2026-07-12 17:37:12+00:00,48.94803,9.113666,191.1,2026-07-12 17:37:12+00:00,0.0
1625,DJI_0408_frame_001625,65.0,0:01:05,,1;0;0;0,0.5711;0.0000;0.0019,2;0;0,99.91,2026-07-12 17:37:17+00:00,48.947921,9.112857,189.3,2026-07-12 17:37:17+00:00,0.0
1750,DJI_0408_frame_001750,70.0,0:01:10,,1;0;0;0,0.6603;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:37:22+00:00,48.947867,9.112035,188.2,2026-07-12 17:37:22+00:00,0.0
1875,DJI_0408_frame_001875,75.0,0:01:15,,1;0;0;0,0.8007;0.0000;0.0000,0;0;0,100.0,2026-07-12 17:37:27+00:00,48.947898,9.111244,188.4,2026-07-12 17:37:27+00:00,0.0
