name,train_limit,balanced,epochs,lr,batch_size,size,seed,train_min,dev_n,eval_ms_per_img,macro_f1@0.03,macro_f1@tuned,tuned_thresholds,miou_dev,f1_forest@0.03,f1_forest@tuned,iou_forest,f1_open_field@0.03,f1_open_field@tuned,iou_open_field,f1_water@0.03,f1_water@tuned,iou_water,f1_city@0.03,f1_city@tuned,iou_city,base,cp_water,other,f1_vegetation@0.03,f1_vegetation@tuned,iou_vegetation
E1_baseline,1500,0,2.0,6e-05,4,512,42,5.2,450,73.2,0.5376,0.5566,"{""forest"": 0.05, ""open_field"": 0.05, ""water"": 0.2, ""city"": 0.2}",0.6147,0.9547,0.9716,0.8783,0.4694,0.4702,0.6987,0.0,0.0,0.0,0.7262,0.7847,0.882,,,,,,
E2_lr2e4,1500,0,2.0,0.0002,4,512,42,5.1,450,72.2,0.5429,0.6027,"{""forest"": 0.08, ""open_field"": 0.12, ""water"": 0.2, ""city"": 0.2}",0.6384,0.9144,0.9144,0.8941,0.5394,0.7645,0.7821,0.0,0.0,0.0,0.7179,0.7319,0.8774,,,,,,
E3_balanced,1500,1,2.0,6e-05,4,512,42,5.2,450,73.1,0.5363,0.5475,"{""forest"": 0.05, ""open_field"": 0.2, ""water"": 0.2, ""city"": 0.2}",0.6399,0.957,0.9688,0.896,0.4694,0.4843,0.7917,0.0,0.0,0.0004,0.719,0.7367,0.8716,,,,,,
E4_bal_oswater,1500,1,2.0,6e-05,4,512,42,5.2,450,73.6,0.595,0.679,"{""forest"": 0.05, ""open_field"": 0.12, ""water"": 0.12, ""city"": 0.12}",0.8216,0.9594,0.9675,0.8936,0.561,0.8276,0.8133,0.0521,0.0535,0.6999,0.8078,0.8676,0.8796,,,,,,
E5_ade258,1758,1,2.0,6e-05,4,512,42,5.6,450,73.2,0.5966,0.6755,"{""forest"": 0.05, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.12}",0.8215,0.9583,0.9666,0.8961,0.5793,0.8185,0.8228,0.0519,0.0677,0.6913,0.7968,0.8492,0.8758,,,,,,
E6_combo,1758,1,2.0,0.0002,4,512,42,5.7,450,73.1,0.5761,0.6553,"{""forest"": 0.05, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.2}",0.8501,0.9166,0.9255,0.906,0.6022,0.8339,0.8303,0.0538,0.1168,0.7693,0.7318,0.7448,0.8948,,,,,,
FINAL_e6cfg_4k,4258,1,3.0,0.0002,4,512,42,21.6,450,74.3,0.5812,0.7304,"{""forest"": 0.08, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.2}",0.8499,0.9144,0.9144,0.921,0.5892,0.8428,0.8653,0.099,0.4211,0.7085,0.7221,0.7435,0.905,,,,,,
E7_adebase,1758,1,2.0,0.0002,4,512,42,5.7,450,75.1,0.5529,0.6399,"{""forest"": 0.08, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.12}",0.8569,0.9155,0.9171,0.9065,0.5093,0.688,0.8556,0.0547,0.2105,0.7776,0.7324,0.7438,0.8879,segformer-b0-finetuned-ade-512-512,0.0,,,,
E8_copypaste,1758,1,2.0,0.0002,4,512,42,5.9,450,69.9,0.5822,0.6731,"{""forest"": 0.08, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.08}",0.8246,0.9144,0.9162,0.9071,0.6316,0.8856,0.8398,0.0525,0.1538,0.6623,0.7302,0.7368,0.8892,segformer-b0-finetuned-cityscapes-1024-1024,0.5,,,,
E9_both,1758,1,2.0,0.0002,4,512,42,5.9,450,69.9,0.5654,0.6381,"{""forest"": 0.08, ""open_field"": 0.12, ""water"": 0.4, ""city"": 0.2}",0.8462,0.9141,0.9218,0.9046,0.5644,0.7278,0.8492,0.0529,0.1455,0.7455,0.7302,0.7575,0.8853,segformer-b0-finetuned-ade-512-512,0.5,,,,
FINAL2_adebase_4k,4258,1,3.0,0.0002,4,512,42,20.9,450,75.6,0.5749,0.7213,"{""forest"": 0.12, ""open_field"": 0.12, ""water"": 0.3, ""city"": 0.2}",0.863,0.9144,0.9144,0.9175,0.5696,0.7738,0.8625,0.0952,0.4571,0.7718,0.7202,0.74,0.9001,segformer-b0-finetuned-ade-512-512,0.0,,,,
FINAL_other_b0,4258,1,3.0,0.0002,4,512,42,22.2,450,78.2,0.932,0.932,"{""forest"": 0.03, ""open_field"": 0.03, ""water"": 0.03, ""city"": 0.03}",0.7378,0.9786,0.9786,0.8436,0.9319,0.9319,0.7571,0.8696,0.8696,0.6252,0.948,0.948,0.7251,segformer-b0-finetuned-ade-512-512,0.0,1,,,
FINAL_veg3_other,4258,1,3.0,0.0002,4,512,42,24.0,450,72.1,0.9452,0.9452,"{""vegetation"": 0.03, ""water"": 0.05, ""city"": 0.03}",0.7566,,,,,,,0.9,0.9,0.6903,0.9486,0.9486,0.7342,segformer-b0-finetuned-ade-512-512,0.0,1,0.987,0.987,0.8452
